feature,importance
total_day_minutes,0.2573088621115439
number_customer_service_calls,0.11504267829579225
total_eve_minutes,0.0911081801551154
international_plan,0.07756001642202465
total_intl_minutes,0.07440695982276198
total_night_minutes,0.060968684481405994
total_intl_calls,0.05586884822041376
account_length,0.048488851021699635
total_day_calls,0.04771852285399931
total_eve_calls,0.045738578236359025
total_night_calls,0.044275599679863706
state,0.037478176739464075
voice_mail_plan,0.03173284064255211
area_code,0.012303201317004018
